date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:31:49	201/201	---M--	200	added ('OK')	text/plain	date:Thu,%2010%20Mar%202022%2016:31:49%20GMT	https://iniaryapratama.wixsite.com/robots.txt		(from )
23:31:50	274686/274686	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2016:31:49%20GMT	https://iniaryapratama.wixsite.com/unusual-snail-only/	F:/Sprite/Snail/Script/Final/Super%20Final%20Web%20USO/iniaryapratama.wixsite.com/unusual-snail-only/index.html	(from )
23:31:50	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	F:/Sprite/Snail/Script/Final/Super%20Final%20Web%20USO/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://iniaryapratama.wixsite.com/unusual-snail-only/)
23:31:51	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	F:/Sprite/Snail/Script/Final/Super%20Final%20Web%20USO/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://iniaryapratama.wixsite.com/unusual-snail-only/)
23:31:51	65522/65522	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2024%20Feb%202022%2016:08:10%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	F:/Sprite/Snail/Script/Final/Super%20Final%20Web%20USO/polyfill.io/v3/polyfill.mind82c.js	(from https://iniaryapratama.wixsite.com/unusual-snail-only/)
23:31:51	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Mar%202022%2016:31:51%20GMT	https://iniaryapratama.wixsite.com/unusual-snail-only/decodeURIComponent(e	F:/Sprite/Snail/Script/Final/Super%20Final%20Web%20USO/iniaryapratama.wixsite.com/unusual-snail-only/decodeURIComponent(e	(from https://iniaryapratama.wixsite.com/unusual-snail-only/)
23:31:52	73657/73657	---M-Z	200	added ('OK')	application/javascript	etag:%22cb6722fb1faff7451f46f758de35248f%22	https://browser.sentry-cdn.com/6.13.3/bundle.min.js	F:/Sprite/Snail/Script/Final/Super%20Final%20Web%20USO/browser.sentry-cdn.com/6.13.3/bundle.min.js	(from https://iniaryapratama.wixsite.com/unusual-snail-only/)
23:31:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Mar%202022%2016:31:52%20GMT	https://iniaryapratama.wixsite.com/unusual-snail-only/robots.txt	F:/Sprite/Snail/Script/Final/Super%20Final%20Web%20USO/iniaryapratama.wixsite.com/unusual-snail-only/robots.txt	(from https://iniaryapratama.wixsite.com/unusual-snail-only/)
23:31:54	303/303	---M--	200	added ('OK')	text/xml	date:Thu,%2010%20Mar%202022%2016:31:53%20GMT	https://iniaryapratama.wixsite.com/unusual-snail-only/sitemap.xml	F:/Sprite/Snail/Script/Final/Super%20Final%20Web%20USO/iniaryapratama.wixsite.com/unusual-snail-only/sitemap.xml	(from https://iniaryapratama.wixsite.com/unusual-snail-only/)
23:31:54	2936/2936	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Mar%202022%2016:31:54%20GMT	https://iniaryapratama.wixsite.com/unusual-snail-only/feed.xml	F:/Sprite/Snail/Script/Final/Super%20Final%20Web%20USO/iniaryapratama.wixsite.com/unusual-snail-only/feed.xml	(from https://iniaryapratama.wixsite.com/unusual-snail-only/)
